OpenLayers.Feature.Vector_163:POINT(-1.6236443817036 47.211327779788)
OpenLayers.Feature.Vector_167:POINT(-1.6230435668843 47.211005282247)
OpenLayers.Feature.Vector_171:POINT(-1.6225044428724 47.210894138572)
OpenLayers.Feature.Vector_175:POINT(-1.621715873422 47.211147400049)
OpenLayers.Feature.Vector_396:POINT(-1.6222912072556 47.211939973117)
OpenLayers.Feature.Vector_360:POINT(-1.6232863067993 47.211338711877)
OpenLayers.Feature.Vector_364:POINT(-1.6231763362297 47.211254899163)
OpenLayers.Feature.Vector_372:POINT(-1.6231521963485 47.211355110002)
OpenLayers.Feature.Vector_482:POINT(-1.6217225789444 47.210863164074)
OpenLayers.Feature.Vector_386:POINT(-1.6226090490239 47.211727710462)
