OpenLayers.Feature.Vector_220:POLYGON((-1.6236872970479 47.211400660316,-1.6237677633184 47.211198416603,-1.6234432160276 47.211298627548,-1.6236872970479 47.211400660316))
OpenLayers.Feature.Vector_239:POLYGON((-1.6232286393064 47.211105493557,-1.6231857239621 47.210906892776,-1.6228477656263 47.211034434648,-1.6232286393064 47.211105493557))
OpenLayers.Feature.Vector_258:POLYGON((-1.6226573287862 47.210912358863,-1.6225151717084 47.210844943756,-1.6224078833478 47.211007104272,-1.6226573287862 47.210912358863))
OpenLayers.Feature.Vector_265:POLYGON((-1.622799485864 47.211473540744,-1.6228075324911 47.211371508117,-1.6225875913519 47.211400660316,-1.622799485864 47.211473540744))
OpenLayers.Feature.Vector_272:POLYGON((-1.6223435103315 47.211407948363,-1.6224212943929 47.211278585375,-1.6221852599996 47.21130591561,-1.6221825777906 47.21130591561,-1.6223435103315 47.211407948363))
OpenLayers.Feature.Vector_291:POLYGON((-1.6226707398313 47.211274941342,-1.6226761042493 47.211149222069,-1.6224561631102 47.211187484488,-1.6226707398313 47.211274941342))
OpenLayers.Feature.Vector_646:POLYGON((-1.6233158110989 47.211752307467,-1.6234338282956 47.211624767323,-1.6232299804104 47.211661207395,-1.6233158110989 47.211752307467))
OpenLayers.Feature.Vector_665:POLYGON((-1.62314951414 47.211832475401,-1.6231817006482 47.211745019467,-1.6230583190335 47.211796035446,-1.62314951414 47.211832475401))
OpenLayers.Feature.Vector_374:POLYGON((-1.622350215854 47.211976412973,-1.6224628686326 47.211794213442,-1.6218781470673 47.211870737321,-1.622350215854 47.211976412973))
OpenLayers.Feature.Vector_444:POLYGON((-1.6218191384689 47.210972485787,-1.6218566893951 47.210837655642,-1.6216421126738 47.210793926873,-1.6215509175674 47.21097612984,-1.6218191384689 47.210972485787))
OpenLayers.Feature.Vector_438:POLYGON((-1.6217735409149 47.211205704685,-1.6218540071853 47.211085451317,-1.6216072439559 47.211076341202,-1.6215455531487 47.211274941349,-1.6217735409149 47.211205704685))
